participant_id	d_condition	tau_condition	a_condition	decision	RT
666	60	3.5	4.00	stay	2.017
666	30	3.5	-2.00	go	0.400
666	60	5.0	0.00	go	0.933
666	30	5.0	4.00	go	1.083
666	30	5.0	-2.00	go	0.700
666	60	5.0	0.00	stay	1.200
666	30	3.5	-2.00	go	0.783
666	60	5.0	0.00	stay	1.083
666	30	3.5	-2.00	stay	0.933
666	60	3.5	0.00	stay	1.383
666	60	5.0	-2.00	go	0.517
666	60	5.0	4.00	stay	1.383
666	30	5.0	0.00	go	0.783
666	60	3.5	4.00	stay	0.983
666	60	5.0	4.00	go	0.517
666	60	3.5	4.00	stay	0.917
666	30	5.0	-2.00	go	0.650
666	60	5.0	4.00	stay	1.500
666	60	3.5	4.00	go	0.500
666	30	3.5	4.00	stay	1.367
666	60	5.0	0.00	go	0.433
666	30	3.5	0.00	go	1.600
666	30	3.5	0.00	stay	1.867
666	30	3.5	4.00	stay	2.067
666	30	5.0	4.00	go	0.833
666	30	3.5	0.00	go	1.217
666	60	3.5	-2.00	go	0.650
666	30	5.0	-2.00	go	0.783
666	60	3.5	-2.00	go	0.667
666	60	5.0	4.00	go	0.567
666	30	3.5	-2.00	go	0.650
666	60	3.5	0.00	go	0.767
666	60	3.5	4.00	go	0.467
666	30	5.0	-2.00	go	0.583
666	30	5.0	0.00	go	0.600
666	60	5.0	-2.00	go	0.533
666	30	5.0	0.00	go	0.650
666	60	5.0	-2.00	go	0.400
666	30	5.0	-2.00	go	1.550
666	60	5.0	4.00	go	0.683
666	60	5.0	-2.00	go	0.433
666	30	3.5	-2.00	go	0.850
666	30	5.0	4.00	go	0.767
666	30	3.5	4.00	go	0.800
666	60	3.5	0.00	go	0.633
666	30	3.5	-2.00	stay	0.933
666	30	3.5	4.00	stay	1.100
666	30	5.0	0.00	go	0.600
666	60	5.0	0.00	go	0.617
666	30	3.5	4.00	go	0.450
666	60	3.5	-2.00	go	0.467
666	60	3.5	0.00	stay	0.867
666	60	3.5	4.00	go	0.400
666	30	3.5	-2.00	stay	0.783
666	60	3.5	-2.00	stay	1.133
666	30	5.0	0.00	go	0.933
666	30	3.5	0.00	go	0.683
666	30	3.5	4.00	stay	0.933
666	30	3.5	4.00	stay	1.333
666	60	3.5	4.00	go	0.683
666	30	5.0	0.00	go	0.833
666	30	3.5	4.00	go	0.517
666	60	3.5	0.00	go	0.600
666	30	5.0	4.00	go	0.917
666	30	3.5	0.00	stay	1.800
666	30	3.5	4.00	stay	0.917
666	30	5.0	4.00	go	0.900
666	30	5.0	4.00	stay	1.350
666	30	5.0	0.00	go	0.517
666	60	5.0	-2.00	go	1.467
666	30	3.5	-2.00	stay	1.417
666	30	5.0	-2.00	go	0.850
666	60	3.5	0.00	go	0.633
666	60	3.5	-2.00	go	0.717
666	60	5.0	4.00	go	0.767
666	60	3.5	4.00	stay	1.150
666	60	3.5	-2.00	stay	0.967
666	30	5.0	4.00	go	0.783
666	60	5.0	4.00	go	0.633
666	30	3.5	0.00	stay	0.917
666	30	3.5	-2.00	go	0.367
666	60	3.5	-2.00	stay	1.783
666	30	3.5	4.00	go	0.533
666	30	3.5	0.00	stay	0.900
666	30	3.5	0.00	go	0.650
666	30	5.0	4.00	go	0.550
666	60	5.0	0.00	go	0.450
666	60	3.5	-2.00	stay	0.800
666	60	3.5	4.00	stay	1.883
666	60	5.0	0.00	go	0.350
666	60	5.0	4.00	stay	1.300
666	60	3.5	0.00	go	0.600
666	60	5.0	-2.00	go	1.250
666	60	3.5	0.00	stay	0.867
666	30	3.5	0.00	go	1.183
666	60	3.5	0.00	go	0.583
666	60	5.0	-2.00	go	0.867
666	60	5.0	-2.00	go	0.683
666	30	5.0	4.00	go	1.100
666	30	5.0	-2.00	stay	3.000
666	30	5.0	0.00	go	0.600
666	60	5.0	0.00	go	1.200
666	60	5.0	0.00	go	1.550
666	60	3.5	-2.00	go	0.667
666	30	5.0	0.00	go	0.600
666	60	3.5	4.00	stay	0.917
666	30	5.0	0.00	go	0.400
666	60	5.0	-2.00	go	0.767
666	30	5.0	-2.00	go	0.900
666	30	5.0	-2.00	go	1.000
666	30	3.5	-2.00	go	0.567
666	30	3.5	0.00	go	0.583
666	60	5.0	4.00	stay	0.883
666	60	3.5	0.00	go	0.433
666	60	5.0	0.00	go	0.417
666	60	5.0	4.00	go	0.733
666	60	5.0	-2.00	go	0.767
666	30	5.0	-2.00	go	0.667
666	60	3.5	-2.00	go	0.450
666	30	5.0	4.00	stay	1.333
